event_id,neutrino_energy,true dir,linefit best dir,linefit seed dir,linefit_ang_err,splinempe best dir,splinempe_ang_err
13,1944901.0680132078,"[130.4519329874045, 134.98295401896758]","[130.29732129236254, 135.62406513234328]","[130.15194995251954, 135.70367462854784]",0.5123008155850657,[130.38414639 135.52714495],0.4198192013400921
14,45039618.27596949,"[149.8862983264791, 100.19766077445894]","[150.3404850985505, 100.28477168002713]","[149.73669343542676, 101.06245719592991]",0.4562560803071132,[149.9763014   99.98689624],0.1387519485155164
15,1054841.3130828668,"[161.9438056763797, 204.36341583769175]","[162.37263152764626, 203.31626617129962]","[162.63938615204808, 204.05851717781528]",0.5355466068128286,[162.19553167 176.91936305],8.37943595152707
16,1681894.398698641,"[111.89027845115635, 309.589810799249]","[111.87394371621934, 301.73146373724086]","[112.29392671698571, 301.8551260294223]",7.291397161404713,[112.4414424  315.24332294],5.264292183237226
17,30754829.9848022,"[85.87819436227119, 133.39715460423145]","[85.8737536409546, 133.44391429030094]","[85.95249524708952, 133.5168810303725]",0.046849547722629205,[ 86.02842319 133.40782128],0.15060515407497638
18,1124961.66532335,"[107.45874570719677, 159.05775694312644]","[107.4197115074408, 159.00259179222473]","[107.62925549280801, 159.04834967620644]",0.06552505897110546,[107.44344706 159.07891638],0.02532793855276668
19,18340352.473007724,"[91.72156359432931, 291.1683347183324]","[91.37934028618983, 291.9833799522475]","[91.08122624780975, 292.28686971937697]",0.8837008614255875,[ 91.26015723 291.94013859],0.8989830934750248
20,39011724.276483156,"[122.28888254399007, 234.40300584856035]","[121.8651524121183, 234.18715367170444]","[121.66010353987558, 234.04088450323223]",0.4615181083694238,[121.58264595 234.31812588],0.7099004835491025
21,55728602.41091876,"[128.45406483391588, 342.1560616370978]","[127.94640557161915, 342.0916116725532]","[127.95554262202485, 341.93125188007355]",0.5101795050126378,[127.81373183 342.26096809],0.6456276691446979
22,4881772.729188044,"[139.10641669821317, 100.1326434420103]","[138.96620513961466, 100.09121329227052]","[139.04916235531837, 100.07591084609653]",0.14281802585243522,[138.88340111 100.01795806],0.23536819252828964
23,1380921.9695983788,"[118.96740479775883, 161.108194276303]","[118.02531689085868, 160.59767740167277]","[118.3537437673606, 160.45385850110742]",1.0434665052878975,[118.00999318 160.75038994],1.007734668530805
24,6540211.662795531,"[103.9111292218431, 137.36133801763296]","[103.62044616336807, 137.16346981688346]","[103.86922833746378, 137.21572577010696]",0.34847025653309704,[103.70866701 137.2106948 ],0.2497824409227828
25,2618872.1238367003,"[149.56332628116655, 232.68057789660034]","[149.5619257964117, 232.7774738857935]","[149.61718994895554, 232.68530083089613]",0.0491071168870096,[149.56273229 233.00750429],0.1656186054266402
26,2464651.687350865,"[109.52903869047064, 120.63385969871625]","[109.27371668086583, 120.5027464444943]","[109.33046889733953, 120.49074722446832]",0.2836953537282056,[109.30726973 120.49852798],0.2558745867880975
